Model,Encoded_Value,,,,,
ILX,0,,,,,
ILX HYBRID,1,,,,,
MDX 4WD,2,,,,,
RDX AWD,3,,,,,
RLX,4,,,,,
TL,5,,,,,
TL AWD,6,,,,,
TSX,7,,,,,
4C,8,,,,,
DB9,9,,,,,
RAPIDE,10,,,,,
V8 VANTAGE,11,,,,,
V8 VANTAGE S,12,,,,,
VANQUISH,13,,,,,
A4,14,,,,,
A4 QUATTRO,15,,,,,
A5 CABRIOLET QUATTRO,16,,,,,
A5 QUATTRO,17,,,,,
A6 QUATTRO,18,,,,,
A6 QUATTRO TDI (modified),19,,,,,
A7 QUATTRO,20,,,,,
A7 QUATTRO TDI (modified),21,,,,,
A8,22,,,,,
A8 TDI (modified),23,,,,,
A8L,24,,,,,
A8L TDI (modified),25,,,,,
ALLROAD QUATTRO,26,,,,,
Q5,27,,,,,
Q5 TDI (modified),28,,,,,
Q5 HYBRID,29,,,,,
Q7,30,,,,,
Q7 TDI (modified),31,,,,,
R8,32,,,,,
R8 SPYDER,33,,,,,
RS 5,34,,,,,
RS 5 CABRIOLET,35,,,,,
RS 7,36,,,,,
S4,37,,,,,
S5,38,,,,,
S5 CABRIOLET,39,,,,,
S6,40,,,,,
S7,41,,,,,
S8,42,,,,,
SQ5,43,,,,,
TT COUPE QUATTRO,44,,,,,
TT ROADSTER QUATTRO,45,,,,,
TTS COUPE QUATTRO,46,,,,,
TTS ROADSTER QUATTRO,47,,,,,
CONTINENTAL GT,48,,,,,
CONTINENTAL GTC,49,,,,,
CONTINENTAL GT SPEED CONVERTIBLE,50,,,,,
FLYING SPUR,51,,,,,
MULSANNE,52,,,,,
320i,53,,,,,
320i xDRIVE,54,,,,,
328d xDRIVE,55,,,,,
328d xDRIVE TOURING,56,,,,,
328i,57,,,,,
328i xDRIVE,58,,,,,
328i xDRIVE GRAN TURISMO,59,,,,,
328i xDRIVE TOURING,60,,,,,
335i,61,,,,,
335i xDRIVE,62,,,,,
335i xDRIVE GRAN TURISMO,63,,,,,
428i COUPE,64,,,,,
428i xDRIVE COUPE,65,,,,,
435i COUPE,66,,,,,
435i xDRIVE COUPE,67,,,,,
528i,68,,,,,
528i xDRIVE,69,,,,,
535d xDRIVE,70,,,,,
535i xDRIVE,71,,,,,
535i xDRIVE GRAN TURISMO,72,,,,,
550i xDRIVE,73,,,,,
550i xDRIVE GRAN TURISMO,74,,,,,
640i xDRIVE GRAN COUPE,75,,,,,
650i xDRIVE CABRIOLET,76,,,,,
650i xDRIVE COUPE,77,,,,,
650i xDRIVE GRAN COUPE,78,,,,,
740Li xDRIVE,79,,,,,
750i xDRIVE,80,,,,,
750Li xDRIVE,81,,,,,
760Li,82,,,,,
ACTIVEHYBRID 3,83,,,,,
ACTIVEHYBRID 5,84,,,,,
ACTIVEHYBRID 7L,85,,,,,
ALPINA B7 xDRIVE LWB,86,,,,,
ALPINA B7 xDRIVE SWB,87,,,,,
M5,88,,,,,
M6,89,,,,,
M6 CABRIOLET,90,,,,,
M6 GRAN COUPE,91,,,,,
X1 xDRIVE28i,92,,,,,
X1 xDRIVE35i,93,,,,,
X3 xDRIVE28i,94,,,,,
X3 xDRIVE35i,95,,,,,
X5 xDRIVE35i,96,,,,,
X5 xDRIVE50i,97,,,,,
X6 M,98,,,,,
X6 xDRIVE35i,99,,,,,
X6 xDRIVE50i,100,,,,,
Z4 sDRIVE28i,101,,,,,
Z4 sDRIVE35i,102,,,,,
Z4 sDRIVE35is,103,,,,,
ENCLAVE,104,,,,,
ENCLAVE AWD,105,,,,,
ENCORE,106,,,,,
ENCORE AWD,107,,,,,
LACROSSE,108,,,,,
LACROSSE AWD,109,,,,,
LACROSSE eASSIST,110,,,,,
REGAL,111,,,,,
REGAL AWD,112,,,,,
REGAL eASSIST,113,,,,,
VERANO,114,,,,,
ATS,115,,,,,
ATS AWD,116,,,,,
CTS COUPE,117,,,,,
CTS COUPE AWD,118,,,,,
CTS SEDAN,119,,,,,
CTS SEDAN AWD,120,,,,,
CTS SEDAN Vsport,121,,,,,
CTS SPORT WAGON,122,,,,,
CTS SPORT WAGON AWD,123,,,,,
CTS-V COUPE,124,,,,,
CTS-V SEDAN,125,,,,,
CTS-V SPORT WAGON,126,,,,,
ESCALADE AWD,127,,,,,
ESCALADE ESV AWD,128,,,,,
SRX,129,,,,,
SRX AWD,130,,,,,
XTS,131,,,,,
XTS AWD,132,,,,,
XTS Vsport AWD,133,,,,,
CAMARO,134,,,,,
CAMARO 2LS,135,,,,,
CAMARO SS,136,,,,,
CAMARO ZL1,137,,,,,
CORVETTE,138,,,,,
CRUZE,139,,,,,
CRUZE DIESEL,140,,,,,
CRUZE ECO,141,,,,,
EQUINOX,142,,,,,
EQUINOX AWD,143,,,,,
EXPRESS 1500 CARGO,144,,,,,
EXPRESS 1500 CARGO AWD,145,,,,,
EXPRESS 1500 CARGO CONV,146,,,,,
EXPRESS 1500 CARGO CONV AWD,147,,,,,
EXPRESS 1500 PASSENGER,148,,,,,
EXPRESS 1500 PASSENGER AWD,149,,,,,
EXPRESS 2500 PASSENGER,150,,,,,
EXPRESS 3500 PASSENGER,151,,,,,
IMPALA,152,,,,,
IMPALA ECO,153,,,,,
MALIBU,154,,,,,
ORLANDO,155,,,,,
SILVERADO,156,,,,,
SILVERADO 4WD,157,,,,,
SONIC,158,,,,,
SONIC RS,159,,,,,
SONIC 5,160,,,,,
SONIC 5 RS,161,,,,,
SPARK,162,,,,,
SUBURBAN,163,,,,,
SUBURBAN 4WD,164,,,,,
TAHOE,165,,,,,
TAHOE 4WD,166,,,,,
TRAVERSE,167,,,,,
TRAVERSE AWD,168,,,,,
TRAX,169,,,,,
TRAX AWD,170,,,,,
300,171,,,,,
200 CONVERTIBLE,172,,,,,
200 CONVERTIBLE FFV,173,,,,,
200 SEDAN,174,,,,,
200 SEDAN FFV,175,,,,,
300 (MDS),176,,,,,
300 AWD,177,,,,,
300 AWD (MDS),178,,,,,
300 AWD FFV,179,,,,,
300 FFV,180,,,,,
300 SRT (MDS),181,,,,,
TOWN & COUNTRY FFV,182,,,,,
AVENGER,183,,,,,
AVENGER FFV,184,,,,,
CHALLENGER,185,,,,,
CHALLENGER (MDS),186,,,,,
CHALLENGER SRT,187,,,,,
CHALLENGER SRT (MDS),188,,,,,
CHARGER,189,,,,,
CHARGER (MDS),190,,,,,
CHARGER AWD,191,,,,,
CHARGER AWD (MDS),192,,,,,
CHARGER AWD FFV,193,,,,,
CHARGER FFV,194,,,,,
CHARGER SRT (MDS),195,,,,,
DART,196,,,,,
DART FFV,197,,,,,
DART GT,198,,,,,
DART TURBO AERO,199,,,,,
DURANGO AWD (MDS),200,,,,,
DURANGO AWD FFV,201,,,,,
GRAND CARAVAN FFV,202,,,,,
JOURNEY,203,,,,,
JOURNEY AWD,204,,,,,
JOURNEY FFV,205,,,,,
500 ABARTH CABRIO,206,,,,,
500 ABARTH HATCHBACK,207,,,,,
500 CABRIO,208,,,,,
500 CABRIO TURBO,209,,,,,
500 HATCHBACK,210,,,,,
500 HATCHBACK TURBO,211,,,,,
500L TURBO,212,,,,,
C-MAX HYBRID,213,,,,,
E150 VAN FFV,214,,,,,
E150 WAGON FFV,215,,,,,
E350 WAGON,216,,,,,
E350 WAGON FFV,217,,,,,
EDGE,218,,,,,
EDGE AWD,219,,,,,
ESCAPE,220,,,,,
ESCAPE AWD,221,,,,,
EXPEDITION 4X4 FFV,222,,,,,
EXPLORER,223,,,,,
EXPLORER AWD,224,,,,,
EXPLORER FFV,225,,,,,
EXPLORER FFV AWD,226,,,,,
F-150,227,,,,,
F-150 4X4,228,,,,,
F-150 FFV,229,,,,,
F-150 FFV 4X4,230,,,,,
F-150 RAPTOR 4X4,231,,,,,
FIESTA,232,,,,,
FIESTA SFE,233,,,,,
FIESTA ST,234,,,,,
FLEX,235,,,,,
FLEX AWD,236,,,,,
FLEX AWD (EcoBoost),237,,,,,
FOCUS,238,,,,,
FOCUS FFV,239,,,,,
FOCUS SFE FFV,240,,,,,
FUSION,241,,,,,
FUSION (Start/Stop),242,,,,,
FUSION AWD,243,,,,,
FUSION HYBRID,244,,,,,
MUSTANG,245,,,,,
MUSTANG CONVERTIBLE,246,,,,,
TAURUS,247,,,,,
TAURUS AWD,248,,,,,
TAURUS FFV,249,,,,,
TAURUS FFV AWD,250,,,,,
TRANSIT CONNECT,251,,,,,
TRANSIT CONNECT TAXI,252,,,,,
TRANSIT CONNECT WAGON,253,,,,,
ACADIA,254,,,,,
ACADIA AWD,255,,,,,
SAVANA 1500 CARGO,256,,,,,
SAVANA 1500 CARGO AWD,257,,,,,
SAVANA 1500 CARGO CONV,258,,,,,
SAVANA 1500 CARGO CONV AWD,259,,,,,
SAVANA 1500 PASSENGER,260,,,,,
SAVANA 1500 PASSENGER AWD,261,,,,,
SAVANA 2500 PASSENGER,262,,,,,
SAVANA 3500 PASSENGER,263,,,,,
SIERRA,264,,,,,
SIERRA 4WD,265,,,,,
TERRAIN,266,,,,,
TERRAIN AWD,267,,,,,
YUKON,268,,,,,
YUKON 4WD,269,,,,,
YUKON DENALI AWD,270,,,,,
YUKON DENALI XL AWD,271,,,,,
YUKON XL,272,,,,,
YUKON XL 4WD,273,,,,,
ACCORD,274,,,,,
ACCORD HYBRID,275,,,,,
CIVIC,276,,,,,
CROSSTOUR AWD,277,,,,,
CR-V,278,,,,,
CR-V AWD,279,,,,,
CR-Z,280,,,,,
FIT,281,,,,,
ODYSSEY,282,,,,,
PILOT,283,,,,,
PILOT AWD,284,,,,,
RIDGELINE AWD,285,,,,,
ACCENT,286,,,,,
ELANTRA GT,287,,,,,
EQUUS,288,,,,,
GENESIS,289,,,,,
SANTA FE,290,,,,,
SANTA FE 4WD,291,,,,,
SANTA FE SPORT,292,,,,,
SANTA FE SPORT 4WD,293,,,,,
SONATA,294,,,,,
SONATA HYBRID,295,,,,,
SONATA HYBRID LIMITED,296,,,,,
TUCSON,297,,,,,
TUCSON 4WD,298,,,,,
VELOSTER,299,,,,,
VELOSTER TURBO,300,,,,,
Q50,301,,,,,
Q50 AWD,302,,,,,
Q50 HYBRID,303,,,,,
Q50 HYBRID AWD,304,,,,,
Q60 AWD COUPE,305,,,,,
Q60 CONVERTIBLE,306,,,,,
Q60 COUPE,307,,,,,
Q70,308,,,,,
Q70 AWD,309,,,,,
Q70 HYBRID,310,,,,,
QX50 AWD,311,,,,,
QX60,312,,,,,
QX60 AWD,313,,,,,
QX60 HYBRID AWD,314,,,,,
QX70 AWD,315,,,,,
QX80 4WD,316,,,,,
F-TYPE CONVERTIBLE,317,,,,,
F-TYPE S CONVERTIBLE,318,,,,,
F-TYPE V8 S CONVERTIBLE,319,,,,,
XF,320,,,,,
XF 3.0L AWD,321,,,,,
XFR,322,,,,,
XFR-S,323,,,,,
XJ AWD,324,,,,,
XJ SUPERCHARGED,325,,,,,
XJL AWD PORTFOLIO,326,,,,,
XJL SUPERCHARGED,327,,,,,
XJR,328,,,,,
XJR LWB,329,,,,,
XK CONVERTIBLE,330,,,,,
XK COUPE,331,,,,,
XKR CONVERTIBLE,332,,,,,
XKR COUPE,333,,,,,
XKR-S CONVERTIBLE,334,,,,,
XKR-S COUPE,335,,,,,
CHEROKEE,336,,,,,
CHEROKEE 4X4,337,,,,,
CHEROKEE 4X4 ACTIVE DRIVE II,338,,,,,
CHEROKEE TRAILHAWK 4X4,339,,,,,
COMPASS,340,,,,,
COMPASS 4X4,341,,,,,
COMPASS 4X4 TRAIL RATED,342,,,,,
GRAND CHEROKEE 4X4 (MDS),343,,,,,
GRAND CHEROKEE 4X4 DIESEL,344,,,,,
GRAND CHEROKEE 4X4 FFV,345,,,,,
GRAND CHEROKEE SRT 4X4 (MDS),346,,,,,
PATRIOT,347,,,,,
PATRIOT 4X4,348,,,,,
PATRIOT 4X4 TRAIL RATED,349,,,,,
WRANGLER 4X4 (2-DOOR),350,,,,,
WRANGLER UNLIMITED 4X4 (4-DOOR),351,,,,,
CADENZA,352,,,,,
FORTE,353,,,,,
FORTE 5,354,,,,,
FORTE KOUP,355,,,,,
OPTIMA,356,,,,,
OPTIMA HYBRID,357,,,,,
OPTIMA HYBRID EX,358,,,,,
RIO,359,,,,,
RIO ECO,360,,,,,
RONDO,361,,,,,
SEDONA,362,,,,,
SORENTO,363,,,,,
SORENTO 4WD,364,,,,,
SOUL,365,,,,,
SOUL ECO Dynamics,366,,,,,
SPORTAGE,367,,,,,
SPORTAGE AWD,368,,,,,
AVENTADOR COUPE,369,,,,,
GALLARDO COUPE,370,,,,,
LR2,371,,,,,
LR4,372,,,,,
RANGE ROVER EVOQUE,373,,,,,
RANGE ROVER EVOQUE COUPE,374,,,,,
RANGE ROVER LWB V8 5.0 SC,375,,,,,
RANGE ROVER LWB V8 5.0 SC FFV,376,,,,,
RANGE ROVER SPORT V6 3.0 SC,377,,,,,
RANGE ROVER SPORT V6 3.0 SC FFV,378,,,,,
RANGE ROVER SPORT V8 5.0 SC,379,,,,,
RANGE ROVER SPORT V8 5.0 SC FFV,380,,,,,
RANGE ROVER V6 3.0 SC,381,,,,,
RANGE ROVER V6 3.0 SC FFV,382,,,,,
RANGE ROVER V8 5.0 SC,383,,,,,
RANGE ROVER V8 5.0 SC FFV,384,,,,,
CT 200h,385,,,,,
ES 300h,386,,,,,
ES 350,387,,,,,
GS 350,388,,,,,
GS 350 AWD,389,,,,,
GS 450h,390,,,,,
GX 460,391,,,,,
IS 250,392,,,,,
IS 250 AWD,393,,,,,
IS 250 C,394,,,,,
IS 350,395,,,,,
IS 350 AWD,396,,,,,
IS 350 C,397,,,,,
IS F,398,,,,,
LS 460,399,,,,,
LS 460 AWD,400,,,,,
LS 460 L AWD,401,,,,,
LS 600h L,402,,,,,
LX 570,403,,,,,
RX 350 AWD,404,,,,,
RX 450h AWD,405,,,,,
MKS AWD,406,,,,,
MKT AWD,407,,,,,
MKT LIVERY,408,,,,,
MKT LIVERY AWD,409,,,,,
MKX AWD,410,,,,,
MKZ,411,,,,,
MKZ AWD,412,,,,,
MKZ HYBRID,413,,,,,
NAVIGATOR 4X4 FFV,414,,,,,
GHIBLI,415,,,,,
GHIBLI AWD,416,,,,,
GRANTURISMO,417,,,,,
GRANTURISMO CONVERTIBLE,418,,,,,
QUATTROPORTE GTS,419,,,,,
QUATTROPORTE SQ4,420,,,,,
CX-5,421,,,,,
CX-5 4WD,422,,,,,
CX-9,423,,,,,
CX-9 4WD,424,,,,,
MAZDA2,425,,,,,
MAZDA3 4-DOOR,426,,,,,
MAZDA3 4-DOOR (i-ELOOP),427,,,,,
MAZDA3 4-DOOR (SIL),428,,,,,
MAZDA3 5-DOOR,429,,,,,
MAZDA3 5-DOOR (i-ELOOP),430,,,,,
MAZDA3 5-DOOR (SIL),431,,,,,
MAZDA5,432,,,,,
MAZDA6,433,,,,,
MAZDA6 (i-ELOOP),434,,,,,
MX-5,435,,,,,
B 250,436,,,,,
C 250,437,,,,,
C 250 COUPE,438,,,,,
C 300 4MATIC FFV,439,,,,,
C 350,440,,,,,
C 350 4MATIC,441,,,,,
C 350 4MATIC COUPE,442,,,,,
C 350 COUPE,443,,,,,
C 63 AMG,444,,,,,
C 63 AMG COUPE,445,,,,,
CL 550 4MATIC,446,,,,,
CL 63 AMG,447,,,,,
CLA 250,448,,,,,
CLA 45 AMG 4MATIC,449,,,,,
CLS 550 4MATIC,450,,,,,
CLS 63 AMG 4MATIC,451,,,,,
CLS 63 AMG S 4MATIC,452,,,,,
E 250 BLUETEC 4MATIC,453,,,,,
E 300 4MATIC,454,,,,,
E 350 4MATIC,455,,,,,
E 350 4MATIC COUPE,456,,,,,
E 350 4MATIC WAGON,457,,,,,
E 350 CABRIOLET,458,,,,,
E 350 COUPE,459,,,,,
E 400 HYBRID,460,,,,,
E 550 4MATIC,461,,,,,
E 550 CABRIOLET,462,,,,,
E 550 COUPE,463,,,,,
E 63 AMG 4MATIC,464,,,,,
E 63 AMG 4MATIC WAGON,465,,,,,
E 63 AMG S 4MATIC,466,,,,,
E 63 AMG S 4MATIC WAGON,467,,,,,
G 550,468,,,,,
G 63 AMG,469,,,,,
GL 350 BLUETEC 4MATIC,470,,,,,
GL 450 4MATIC,471,,,,,
GL 550 4MATIC,472,,,,,
GL 63 AMG,473,,,,,
GLK 250 BLUETEC 4MATIC,474,,,,,
GLK 350 4MATIC,475,,,,,
ML 350 4MATIC FFV,476,,,,,
ML 350 BLUETEC 4MATIC,477,,,,,
ML 550 4MATIC,478,,,,,
ML 63 AMG 4MATIC,479,,,,,
S 550 4MATIC LWB,480,,,,,
S 550 4MATIC SWB,481,,,,,
S 63 AMG 4MATIC,482,,,,,
SL 550,483,,,,,
SL 63 AMG,484,,,,,
SL 65 AMG,485,,,,,
SLK 250,486,,,,,
SLK 350,487,,,,,
SLK 55 AMG,488,,,,,
SLS AMG BLACK SERIES COUPE,489,,,,,
SLS AMG GT COUPE,490,,,,,
SLS AMG ROADSTER,491,,,,,
COOPER CLUBMAN,492,,,,,
COOPER CONVERTIBLE,493,,,,,
COOPER COUNTRYMAN,494,,,,,
COOPER COUPE,495,,,,,
COOPER PACEMAN,496,,,,,
COOPER ROADSTER,497,,,,,
COOPER S CLUBMAN,498,,,,,
COOPER S CONVERTIBLE,499,,,,,
COOPER S COUNTRYMAN ALL4,500,,,,,
COOPER S COUPE,501,,,,,
COOPER S PACEMAN ALL4,502,,,,,
COOPER S ROADSTER,503,,,,,
JOHN COOPER WORKS CLUBMAN,504,,,,,
JOHN COOPER WORKS CONVERTIBLE,505,,,,,
JOHN COOPER WORKS COUNTRYMAN ALL4,506,,,,,
JOHN COOPER WORKS COUPE,507,,,,,
JOHN COOPER WORKS PACEMAN ALL4,508,,,,,
JOHN COOPER WORKS ROADSTER,509,,,,,
LANCER,510,,,,,
LANCER AWD,511,,,,,
LANCER EVOLUTION,512,,,,,
LANCER RALLIART,513,,,,,
LANCER SPORTBACK,514,,,,,
MIRAGE,515,,,,,
OUTLANDER,516,,,,,
OUTLANDER 4WD,517,,,,,
RVR,518,,,,,
RVR 4WD,519,,,,,
370Z,520,,,,,
370Z ROADSTER,521,,,,,
ALTIMA,522,,,,,
ARMADA 4WD,523,,,,,
FRONTIER,524,,,,,
FRONTIER 4WD,525,,,,,
GT-R,526,,,,,
JUKE,527,,,,,
JUKE AWD,528,,,,,
MAXIMA,529,,,,,
MURANO AWD,530,,,,,
NV200 CARGO VAN,531,,,,,
PATHFINDER,532,,,,,
PATHFINDER 4WD,533,,,,,
PATHFINDER HYBRID 4WD,534,,,,,
QUEST,535,,,,,
ROGUE,536,,,,,
ROGUE AWD,537,,,,,
SENTRA,538,,,,,
TITAN,539,,,,,
TITAN 4WD,540,,,,,
